signal,kind,pillar,transport,emitted_by,description,use,verified_live,proven_live,unit_test,drawn_on_dashboard,GAP
esq.async,span,metrics+tracing,push+poll,common,Async-continuation span across an in-process thread hand-off (EsqAsyncTrace).,Keeps a queue worker's spans inside the SUBMITTING request's trace.,METERS_CONDITIONAL,YES,O11yMeterDriftTest.java,,
esq.biz.acct.close.total,counter,metrics,poll,pacMan,Accounts closed.,Conditional domain event.,METERS_CONDITIONAL,NO,,FX applied + accounts closed,NOT-PROVEN
esq.biz.acct.fx.apply.total,counter,metrics,poll,pacMan,FX applications.,Conditional domain event.,METERS_CONDITIONAL,NO,,FX applied + accounts closed,NOT-PROVEN
esq.biz.acct.tx.duration,timer,metrics,poll,pacMan,Account transaction latency by type.,Drawn on 'Transaction latency'.,METERS_CONDITIONAL,NO,EsqBizMetersTest.java;O11yMeterDriftTest.java,Transaction latency (avg ms by type),NOT-PROVEN
esq.biz.acct.tx.total,counter,metrics,poll,pacMan,Account transactions by type + outcome.,pacMan domain throughput.,METERS_CONDITIONAL,NO,,Account transactions (tx/s by type + outcome);Transaction latency (avg ms by type),NOT-PROVEN
esq.biz.dict.lookup.total,counter,metrics,poll,enyMan,Dictionary lookups by kind.,Dict traffic. Conditional -- empty until someone looks one up.,METERS_CONDITIONAL,NO,MesnieMeterOwnerTest.java,Dictionary lookups (by kind),NOT-PROVEN
esq.biz.entity.ops.total,counter,metrics,poll,enyMan,Entity operations by op + outcome.,Core domain throughput (enyMan).,METERS_CONDITIONAL,NO,EsqServiceTagFilterTest.java;MesnieMeterOwnerTest.java,Entity operations (ops/s by op + outcome),NOT-PROVEN
esq.biz.gw.tokenrelay.acquire.total,counter,metrics,poll,gateway,Token Relay KC acquires by outcome.,How often KeyCloak is actually called.,METERS_CONDITIONAL,NO,,,NOT-PROVEN
esq.biz.gw.tokenrelay.duration,timer,metrics,poll,gateway,KC /token round-trip duration by outcome (ok|error|cancelled).,"Answers I42/L2. Feeds I47's 'KC token-relay (per gw request)' band -- amortized over gateway REQUESTS, not per relay, because the relay only fires on a cache miss.",METERS_CONDITIONAL,NO,,Request latency bands -- DERIVED (avg ms);Token relay -- KC /token acquire (avg ms),NOT-PROVEN
esq.biz.gw.tokenrelay.total,counter,metrics,poll,gateway,Token Relay cache hit/miss.,THE most load-bearing number on the board: a MISS is a live KC /token round-trip on the hot path.,METERS_CONDITIONAL,NO,GateWardMeterOwnerTest.java,Request latency bands -- DERIVED (avg ms);Token relay -- KC /token acquire (avg ms);Token relay -- cache hit rate,NOT-PROVEN
esq.biz.kc.sync.duration,timer,metrics,poll,kcMaster,Duration of the WHOLE kc sync operation (the KC round-trip dominates it).,"Answers I39: the kcMaster->KC duration IS measured, at the OPERATION grain. Only a per-CALL span is absent, and a traceparent buys nothing (stock KC is not OTel-traced).",METERS_CONDITIONAL,NO,O11yMeterDriftTest.java,KeyCloak sync latency (avg ms),NOT-PROVEN
esq.biz.kc.sync.total,counter,metrics,poll,kcMaster,"kcMaster KC identity syncs by op + outcome, recorded in a finally so a FAILED sync counts.",A failed sync leaves Esquire and KeyCloak disagreeing about who exists -- nothing else reports that.,METERS_CONDITIONAL,NO,EsqServiceTagFilterTest.java;MesnieMeterOwnerTest.java,KeyCloak identity sync (by op + outcome);KeyCloak sync latency (avg ms),NOT-PROVEN
esq.biz.key.identity.total,counter,metrics,poll,keySmith,"What keySmith ASKS the identity provider to do, by command (create / update / delete), counted after the request is posted.","Read against esq.biz.kc.sync.total, which is what was DONE: a gap between the two is a sync that never landed, and nothing else reports it.",METERS_CONDITIONAL,NO,MesnieMeterOwnerTest.java,Identity commands asked for (by command),NOT-PROVEN
esq.biz.key.ops.total,counter,metrics,poll,keySmith,"keySmith access-profile reads and saves by op + outcome, recorded in a finally so a FAILED one counts.",keySmith domain throughput -- the service owned no business meter at all before v1.2.13.,METERS_EXPECTED,YES,MesnieMeterOwnerTest.java,Access profile reads + saves (by op + outcome),
esq.biz.move.failed.total,counter,metrics,poll,enyMan,Moves failed.,Conditional -- flat 0 on a healthy system.,METERS_CONDITIONAL,NO,O11yMeterDriftTest.java,"Move outcome (per s);The system -- every component, live",NOT-PROVEN
esq.biz.move.processed.total,counter,metrics,poll,enyMan,Moves processed.,Move throughput.,METERS_CONDITIONAL,NO,MesnieMeterOwnerTest.java;O11yMeterDriftTest.java,Move outcome (per s),NOT-PROVEN
esq.biz.move.queue.depth,gauge,metrics,poll,enyMan,Pending entries in the enyMan move queue (GAUGE).,Backpressure -- a rising depth means the worker is falling behind.,GAUGES,YES,EsqBizMetersTest.java,Move queue -- depth (pending),
esq.biz.move.refused.total,counter,metrics,poll,enyMan,"Move commands the queue would not take (full, or stopped at shutdown).",Conditional -- flat 0 on a healthy system; a spike means the move queue is at capacity.,METERS_CONDITIONAL,NO,,,NOT-PROVEN
esq.biz.perm.check.total,counter,metrics,poll,common,"Permission decisions, tagged allow/deny.",Security posture -- the DENY rate.,METERS_EXPECTED,YES,EsqBizMetersTest.java;EsqO11yRegistryResetTest.java;EsqTagCardinalityCapTest.java;MesnieMeterOwnerTest.java,Permission checks (allow vs DENY),
esq.biz.tree.handler.dispatch.total,counter,metrics,poll,bizTree,bizTree broadcast handler dispatch by outcome.,"Cache coherence: a failing dispatch means a STALE tree, and nothing else reports it.",METERS_EXPECTED,YES,GateWardMeterOwnerTest.java;MessageHandlerHubGuardTest.java,Tree cache -- broadcast dispatch (by outcome),
esq.biz.tree.rebuild.total,counter,metrics,poll,bizTree,bizTree full cache rebuilds.,Rare by design -- a spike means churn.,METERS_CONDITIONAL,YES,GateWardMeterOwnerTest.java,Tree cache -- broadcast dispatch (by outcome),
esq.gw.inner,timer,metrics,poll,gateWard; gateway,The gateway's proxied downstream call ONLY (InnerTimerFilter @Order(0)).,"Feeds two bands: 'in-cluster (gw<->srv)' = gw.inner - srv.outer, and 'gw self' = (gw.outer-gw.inner)-KC.",METERS_EXPECTED,YES,GateWardMeterOwnerTest.java,Request latency bands -- DERIVED (avg ms);Request latency bands -- RAW (avg ms by layer),
esq.gw.outer,timer,metrics,poll,gateWard; gateway,Gateway total IN-PROCESS window per request (RequestTraceFilter start -> ResponseTraceFilter).,"The band ROOT -- every band below decomposes it. NOT client network: both ends are the gateway's own clock, so no client<->gw network can be in it (I47).",METERS_EXPECTED,YES,GateWardMeterOwnerTest.java,Gateway total p95 by route (ms);Request latency bands -- DERIVED (avg ms);Request latency bands -- RAW (avg ms by layer),
esq.srv.inner,timer,metrics,poll,common; gateWard,"Per-request total JPA/DB time (MdcFilter records performance.getTotalJpaTime(), tagged by route).","mir0n's 'srv inner (db, capture-gated)' -- the DB band. This is the measure that answers I40: the DB time IS measured; only a per-STATEMENT span is absent.",METERS_EXPECTED,YES,GateWardMeterOwnerTest.java;MesnieMeterOwnerTest.java;PerformanceAspectTest.java,Request latency bands -- DERIVED (avg ms);Request latency bands -- RAW (avg ms by layer),
esq.srv.outer,timer,metrics,poll,common; gateWard,Service wall time for the request.,Band 'srv self (compute)' = srv.outer - srv.inner.,METERS_EXPECTED,YES,GateWardMeterOwnerTest.java;MesnieMeterOwnerTest.java,Request latency bands -- DERIVED (avg ms);Request latency bands -- RAW (avg ms by layer),
esq.svc.acct.delete,span,metrics+tracing,push+poll,pacMan,@EsqTraced on the pacMan account delete.,Span + timer for an account delete.,METERS_CONDITIONAL,NO,,,NOT-PROVEN
esq.svc.acct.read,span,metrics+tracing,push+poll,pacMan,@EsqTraced on the pacMan account read.,Span + timer for an account read.,METERS_CONDITIONAL,NO,,,NOT-PROVEN
